Title,Year,Metacritic Rating
Citizen Kane,1941,100
The Godfather,1972,100
Rear Window,1954,100
Casablanca,1943,100
Boyhood,2014,100
Three Colors: Red,1994,100
Vertigo,1958,100
Notorious,1946,100
Singin' in the Rain,1952,100
Moonlight,2016,100
Pinocchio,1940,100
Touch of Evil,1958,100
The Treasure of the Sierra Madre,1948,100
Pan's Labyrinth,2006,100
North by Northwest,1959,100
All About Eve,1950,100
Hoop Dreams,1994,99
My Left Foot,1990,99
The Third Man,1949,99
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,99
Gone with the Wind,1940,99
"4 Months, 3 Weeks and 2 Days",2008,99
Some Like It Hot,1959,99
Psycho,1960,99
American Graffiti,1973,98
Dumbo,1941,98
Roma,2018,98
Ran,1985,98
12 Angry Men,1957,98
Manchester by the Sea,2016,98
Rosemary's Baby,1968,98
The Maltese Falcon,1941,98
12 Years a Slave,2013,98
Nashville,1975,98
Ratatouille,2007,97
A Streetcar Named Desire,1951,97
The Grapes of Wrath,1940,97
Mean Streets,1973,97
Gravity,2013,97
Fantasia,1940,97
Spirited Away,2002,97
The Wild Bunch,1969,97
Beauty and the Beast,1991,97
Carol,2015,97
Toy Story,1995,97
The Social Network,2010,97
My Fair Lady,1964,97
I Am Not Your Negro,2016,97
Double Indemnity,1944,97
Killer of Sheep,2007,97
Snow White and the Seven Dwarfs,1938,96
Anatomy of a Murder,1959,96
Zero Dark Thirty,2012,96
Portrait of a Lady on Fire,2019,96
A Separation,2011,96
WALL-E,2008,96
Before Midnight,2013,96
Dunkirk,2017,96
The Man Who Shot Liberty Valance,1962,96
The Searchers,1956,96
45 Years,2015,96
Taxi Driver,1976,96
The Manchurian Candidate,1962,96
Pulp Fiction,1994,96
Mr. Turner,2014,96
The Hurt Locker,2009,96
The Wild Child,1970,96
Amazing Grace,2018,96
Shadow of a Doubt,1943,96
Inside Out,2015,96
Sideways,2004,96
The Apartment,1960,96
Apocalypse Now,1979,96
The Gunfighter,1950,96
We Were Here,2011,96
Lady Bird,2017,96
The Lord of the Rings: The Return of the King,2003,96
Carlos,2010,96
Faces Places,2017,96
Amour,2012,96
The Servant,1964,96
The Magnificent Ambersons,1942,96
Reversal of Fortune,1990,95
Shoplifters,2018,95
Shoah: Four Sisters,2018,95
"Crouching Tiger, Hidden Dragon",2000,95
Duck Soup,1933,95
Toni Erdmann,2016,95
Yi Yi,2000,95
Spotlight,2015,95
La La Land,2016,95
Stagecoach,1939,95
Call Me by Your Name,2017,95
Inside Llewyn Davis,2013,95
Schindler's List,1993,95
Sherpa,2015,95
There Will Be Blood,2007,95
Badlands,1973,95
The Last Picture Show,1971,95
Sita Sings the Blues,2009,95
The Decline of Western Civilization,1981,95
Days of Heaven,1978,95
Crumb,1995,95
The Band Wagon,1953,95
One More Time with Feeling,2016,95
The Diving Bell and the Butterfly,2007,95
Invasion of the Body Snatchers,1956,95
The Class,2008,95
Platoon,1987,95
35 Shots of Rum,2009,95
Brother's Keeper,1992,95
Chinatown,1974,95
The Florida Project,2017,94
Timbuktu,2015,94
The Souvenir,2019,94
Maborosi,1997,94
Apocalypse Now Redux,2001,94
Annie Hall,1977,94
The Lord of the Rings: The Fellowship of the Ring,2001,94
Intolerance,1916,94
Leviathan,2014,94
The Best Years of Our Lives,1946,94
Werckmeister Harmonies,2001,94
Toy Story 3,2010,94
This Is Spinal Tap,1984,94
The Look of Silence,2015,94
Tower,2016,94
The Rider,2018,94
Moolaadé,2004,94
Atanarjuat: The Fast Runner,2002,94
Gavagai,2018,94
The Man Who Would Be King,1975,94
Breaking Away,1979,94
After Life,1999,94
Cool Hand Luke,1967,94
The African Queen,1952,94
The Triplets of Belleville,2003,94
The Queen,2006,94
All Quiet on the Western Front,1930,94
A Bread Factory Part Two: Walk With Me a While,2018,94
The Ladykillers,1956,94
Young Mr. Lincoln,1939,94
Stories We Tell,2013,94
A Bread Factory Part One: For the Sake of Gold,2018,94
On the Waterfront,1954,94
Son of Saul,2015,94
Jafar Panahi's Taxi,2015,94
Beau Travail,2000,94
Do the Right Thing,1989,94
Waltz with Bashir,2008,94
They Shall Not Grow Old,2018,94
EX LIBRIS: The New York Public Library,2017,94
Secrets & Lies,1996,94
Patton,1970,94
The Right Stuff,1983,94
Bambi,1942,94
Frankenstein,1931,94
Bringing Up Baby,1938,94
No Country for Old Men,2007,94
The Gatekeepers,2013,93
Nostalgia for the Light,2011,93
Ida,2014,93
Saving Private Ryan,1998,93
After Hours,1985,93
The Favourite,2018,93
The Crying Game,1992,93
Burning,2018,93
13th,2016,93
Winter's Bone,2010,93
Gett: The Trial of Viviane Amsalem,2015,93
I Called Him Morgan,2017,93
Close Encounters of the Third Kind,1977,93
The Godfather: Part II,1974,93
The Hustler,1961,93
L.A. Confidential,1997,93
Bloody Sunday,2002,93
My Voyage to Italy,2001,93
Her,2013,93
The Sweet Hereafter,1997,93
Paths of the Soul,2016,93
It's Such a Beautiful Day,2012,93
My Perestroika,2011,93
This Is Not a Film,2012,93
Finding Nemo,2003,93
Topsy-Turvy,1999,93
Samurai Rebellion,1967,93
King Kong,1933,93
The Incredibles,2004,93
Before Sunset,2004,93
Being John Malkovich,1999,93
A Prophet,2010,93
Hard to Be a God,2015,93
Almost Famous,2000,93
Phantom Thread,2017,93
Cold War,2018,93
Big Men,2014,93
American Splendor,2003,93
Hannah and Her Sisters,1986,93
The Circus,1929,93
The Act of Killing,2013,93
The Tale,2018,93
Gosford Park,2001,93
Dirty Harry,1971,93
The Fits,2016,93
United 93,2006,93
Mad Max: Fury Road,2015,93
Downhill Racer,1969,93
Capturing the Friedmans,2003,92
The Truman Show,1998,92
American Hustle,2013,92
Paterson,2016,92
Star Wars: Episode IV - A New Hope,1977,92
Persepolis,2007,92
The Age of Innocence,1993,92
Minding the Gap,2018,92
Lost in Translation,2003,92
The Best of Youth,2005,92
The Overnighters,2014,92
The Lives of Others,2006,92
4 Little Girls,1997,92
Two-Lane Blacktop,1971,92
House of Flying Daggers,2004,92
Searching for Bobby Fischer,1993,92
Assault on Precinct 13,1976,92
Man on Wire,2008,92
Howards End,1992,92
Eighth Grade,2018,92
Force of Evil,1949,92
Still Walking,2009,92
Gangs of Wasseypur,2015,92
The Last Detail,1973,92
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,92
Barry Lyndon,1975,92
Elle,2016,92
The Tale of The Princess Kaguya,2014,92
Uncertain,2017,92
"Two Days, One Night",2014,92
National Gallery,2014,92
A Star Is Born,1954,92
No End in Sight,2007,92
It's a Wonderful Life,1947,92
Long Day's Journey Into Night,2019,92
The Madness of King George,1994,92
Phoenix,2015,92
Goodbye Solo,2009,92
Western,2015,92
Stop Making Sense,1984,92
Deep Red,1976,92
Alien,1979,92
Night of the Living Dead,1968,92
The Artist,2011,92
Raging Bull,1980,92
The Farewell,2019,92
Eternal Sunshine of the Spotless Mind,2004,92
The Piano,1993,91
Goodfellas,1990,91
Dead Souls,2018,91
Zama,2018,91
Blade Runner,1982,91
High Noon,1952,91
Letters from Iwo Jima,2006,91
Parasite,2019,91
Columbus,2017,91
A Woman Under the Influence,1974,91
Once,2007,91
The Arbor,2011,91
Democrats,2015,91
The Lion King,1994,91
Selma,2014,91
Ghost World,2001,91
Brazil,1985,91
Crime + Punishment,2018,91
Y Tu Mamá También,2002,91
Paddington 2,2018,91
The Little Mermaid,1989,91
Capote,2005,91
The Death of Stalin,2018,91
Strangers on a Train,1951,91
Tulpan,2009,91
Manuscripts Don't Burn,2014,91
In Transit,2017,91
Whiplash,2014,91
"Three Billboards Outside Ebbing, Missouri",2017,91
Quest,2017,91
A Film Unfinished,2010,91
Things to Come,2016,91
The Grand Budapest Hotel,2014,91
Winter Sleep,2014,91
A Star Is Born,2018,91
Citizenfour,2014,91
Time Out,2002,91
The Blue Angel (re-release),2001,91
Thelma & Louise,1991,91
Away from Her,2007,91
The Fallen Idol (re-release),2006,91
Blue Is the Warmest Color,2013,91
Foxtrot,2017,91
Inside Job,2010,91
Leave No Trace,2018,91
Three Colors: White,1994,91
Chicken Run,2000,91
The King's Speech,2010,91
Hell or High Water,2016,91
Up,2009,91
Once Upon a Time in... Hollywood,2019,91
Shirkers,2018,91
Quiz Show,1994,91
45365,2010,91
Tootsie,1982,91
To Kill a Mockingbird,1962,91
Aquarius,2016,91
Anomalisa,2015,91
Apollo 11,2019,91
Toy Story 2,1999,91
Black Panther,2018,91
Brooklyn,2015,91
Nobody Knows,2005,91
Life Is Sweet,1991,91
Mary Poppins,1964,91
The Lord of the Rings: The Two Towers,2002,91
L'Enfant (The Child),2006,91
Sweet Country,2018,91
Jane Fonda in Five Acts,2018,91
Newtown,2016,91
Restless Creature: Wendy Whelan,2017,91
Birdman or (The Unexpected Virtue of Ignorance),2014,90
Little Women,1994,90
Poetry,2011,90
Shakespeare in Love,1998,90
Can You Ever Forgive Me?,2018,90
It Happened One Night,1934,90
The Missing Picture,2013,90
"I Travel Because I Have to, I Come Back Because I Love You",2011,90
Superman II,1981,90
Of Men and War,2015,90
The Farthest,2017,90
Gomorrah,2009,90
To Be and to Have,2003,90
Eraserhead,1978,90
Medium Cool,1969,90
Fire at Sea,2016,90
The Fugitive,1993,90
About Elly (2009),2015,90
The Bridge on the River Kwai,1957,90
Goldfinger,1965,90
One False Move,1992,90
En el Séptimo Día (On the Seventh Day),2018,90
Jane,2017,90
We Are the Best!,2014,90
Spartacus,1960,90
Back to the Future,1985,90
If Beale Street Could Talk,2018,90
My Journey Through French Cinema,2017,90
Wallace & Gromit: The Curse of the Were-Rabbit,2005,90
The Diary of a Teenage Girl,2015,90
Elena,2012,90
All Is Lost,2013,90
Hereditary,2018,90
Ordinary People,1980,90
Listen to Me Marlon,2015,90
Gideon's Army,2013,90
Serpico (re-release),2004,90
Maria Full of Grace,2004,90
Fateless,2006,90
Happy as Lazzaro,2018,90
The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,2003,90
Uncle Boonmee Who Can Recall His Past Lives,2011,90
The Birds,1963,90
Brokeback Mountain,2005,90
Cemetery of Splendor,2016,90
The Kid with a Bike,2012,90
Spider-Man: Into the Spider-Verse,2018,90
Harry Potter and the Deathly Hallows: Part 2,2011,90
