Title,Year,Metacritic Rating,Netflix,Amazon,Hulu,Imdb Rating
Citizen Kane,1941,100,,,,8.3
The Godfather,1972,100,,,,9.2
Rear Window,1954,100,,,,8.5
Boyhood,2014,100,,,,7.9
Three Colors: Red,1994,100,,,,8.1
Vertigo,1958,100,,,,8.3
Notorious,1946,100,,,,8.0
Singin' in the Rain,1952,100,,,,8.3
Moonlight,2016,100,,,,7.4
Pinocchio,1940,100,,,,7.5
Touch of Evil,1958,100,,,,8.0
The Treasure of the Sierra Madre,1948,100,,,,8.2
Pan's Labyrinth,2006,100,,,,8.2
North by Northwest,1959,100,,,,8.3
All About Eve,1950,100,,,,8.3
Hoop Dreams,1994,99,,,,8.3
The Third Man,1949,99,,,,8.2
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,99,,,,8.4
Some Like It Hot,1959,99,,,,8.2
Psycho,1960,99,,,,8.5
American Graffiti,1973,98,,,,7.5
Dumbo,1941,98,,,,7.3
Roma,2018,98,,,,7.8
Ran,1985,98,,,,8.2
12 Angry Men,1957,98,,,,8.9
Manchester by the Sea,2016,98,,,,7.8
Rosemary's Baby,1968,98,,,,8.0
The Maltese Falcon,1941,98,,,,8.1
12 Years a Slave,2013,98,,,,8.1
Nashville,1975,98,,,,7.8
Ratatouille,2007,97,,,,8.0
A Streetcar Named Desire,1951,97,,,,8.0
The Grapes of Wrath,1940,97,,,,8.1
Mean Streets,1973,97,,,,7.3
Gravity,2013,97,,,,7.7
Fantasia,1940,97,,,,7.8
The Wild Bunch,1969,97,,,,8.0
Beauty and the Beast,1991,97,,,,8.0
Carol,2015,97,,,,7.2
Toy Story,1995,97,,,,8.3
The Social Network,2010,97,,,,7.7
My Fair Lady,1964,97,,,,7.9
I Am Not Your Negro,2016,97,,,,7.8
Double Indemnity,1944,97,,,,8.3
Anatomy of a Murder,1959,96,,,,8.0
Zero Dark Thirty,2012,96,,,,7.4
Portrait of a Lady on Fire,2019,96,,,,8.5
A Separation,2011,96,,,,8.3
Before Midnight,2013,96,,,,7.9
Dunkirk,2017,96,,,,7.9
The Man Who Shot Liberty Valance,1962,96,,,,8.1
The Searchers,1956,96,,,,8.0
45 Years,2015,96,,,,7.1
Taxi Driver,1976,96,,,,8.3
The Manchurian Candidate,1962,96,,,,8.0
Pulp Fiction,1994,96,,,,8.9
Mr. Turner,2014,96,,,,6.8
The Wild Child,1970,96,,,,7.6
Amazing Grace,2018,96,,,,7.8
